,Car,Price,Year,Region,Body,Engine_volume,Mileage,Transmission,Steering_wheel,Color
0,Chevrolet Tracker,5850000,2015,Петропавловск,кроссовер,1.8,46000,автомат,слева,красный металлик
1,Opel Frontera,1650000,1994,Талдыкорган,внедорожник,2.3,0,механика,слева,синий металлик
2,Renault Sandero Stepway,3990000,2014,Караганда,хэтчбек,1.6,110000,автомат,слева,коричневый металлик
3,Toyota Land Cruiser,16800000,2010,Алматы,внедорожник,4,220000,автомат,слева,белый
4,Mitsubishi Pajero,8000000,2007,Алматы,внедорожник,3,137000,автомат,слева,черный
5,Toyota Camry,3800000,2003,Алматы,седан,2.4,0,автомат,слева,белый
6,Mazda MPV,3000000,1999,Талдыкорган,минивэн,2.5,0,автомат,справа,зеленый
7,Mitsubishi Pajero,7500000,2008,Актобе,внедорожник,3,219000,автомат,слева,серебристый металлик
8,Mitsubishi RVR,1600000,1995,Алматы,минивэн,2,444444,автомат,справа,полный привод
9,Audi 100,2500000,1994,Караганда,универсал,2.8,300000,автомат,слева,передний привод
10,Opel Zafira,2300000,2001,Актобе,минивэн,2.2,160000,автомат,слева,серебристый
11,Nissan Juke,5950000,2013,Актау,кроссовер,1.6,39000,вариатор,слева,белый
12,Toyota Camry,13900000,2019,Атырау,седан,2.5,18000,автомат,слева,белый
13,Opel Vectra,950000,1991,Шымкент,седан,2,145000,механика,слева,синий
14,Toyota Highlander,8800000,2008,Алматы,кроссовер,3.5,210000,автомат,слева,серый металлик
15,Daewoo Matiz,900000,2000,Шымкент,хэтчбек,8,0,механика,слева,серебристый
16,Volkswagen Passat,2300000,2001,Актобе,универсал,1.8,234500,механика,слева,черный
17,Hyundai Sonata,3700000,2011,Жанаозен,седан,2.4,197102,автомат,слева,бордовый
18,Subaru Forester,3300000,2001,Алматы,кроссовер,2.5,220323,автомат,слева,серебристый металлик
19,Land Rover Range Rover,3000000,2004,Талдыкорган,внедорожник,4.4,0,автомат,слева,белый
20,Chevrolet Tracker,5850000,2015,Петропавловск,кроссовер,1.8,46000,автомат,слева,красный металлик
21,Opel Frontera,1650000,1994,Талдыкорган,внедорожник,2.3,0,механика,слева,синий металлик
22,Renault Sandero Stepway,3990000,2014,Караганда,хэтчбек,1.6,110000,автомат,слева,коричневый металлик
23,Toyota Land Cruiser,16800000,2010,Алматы,внедорожник,4,220000,автомат,слева,белый
24,Mitsubishi Pajero,8000000,2007,Алматы,внедорожник,3,137000,автомат,слева,черный
25,Toyota Camry,3800000,2003,Алматы,седан,2.4,0,автомат,слева,белый
26,Mazda MPV,3000000,1999,Талдыкорган,минивэн,2.5,0,автомат,справа,зеленый
27,Mitsubishi Pajero,7500000,2008,Актобе,внедорожник,3,219000,автомат,слева,серебристый металлик
28,Mitsubishi RVR,1600000,1995,Алматы,минивэн,2,444444,автомат,справа,полный привод
29,Audi 100,2500000,1994,Караганда,универсал,2.8,300000,автомат,слева,передний привод
30,Opel Zafira,2300000,2001,Актобе,минивэн,2.2,160000,автомат,слева,серебристый
31,Nissan Juke,5950000,2013,Актау,кроссовер,1.6,39000,вариатор,слева,белый
32,Toyota Camry,13900000,2019,Атырау,седан,2.5,18000,автомат,слева,белый
33,Opel Vectra,950000,1991,Шымкент,седан,2,145000,механика,слева,синий
34,Toyota Highlander,8800000,2008,Алматы,кроссовер,3.5,210000,автомат,слева,серый металлик
35,Daewoo Matiz,900000,2000,Шымкент,хэтчбек,8,0,механика,слева,серебристый
36,Volkswagen Passat,2300000,2001,Актобе,универсал,1.8,234500,механика,слева,черный
37,Hyundai Sonata,3700000,2011,Жанаозен,седан,2.4,197102,автомат,слева,бордовый
38,Subaru Forester,3300000,2001,Алматы,кроссовер,2.5,220323,автомат,слева,серебристый металлик
39,Land Rover Range Rover,3000000,2004,Талдыкорган,внедорожник,4.4,0,автомат,слева,белый
40,Kia Bongo,6800000,2015,Алматы,фургон,2.9,0,механика,слева,синий металлик
41,Chrysler 300C,5500000,2008,Алматы,седан,2.7,205000,автомат,слева,белый
42,Toyota Land Cruiser Prado,9500000,2004,Алматы,внедорожник,4,250000,автомат,слева,белый
